,EARFCN_DL,antenna_height,azimuth,tilt,Site_latitude,Site_longitude,building_count,total_road_length,elevation,NDVI,population_density,Geohash,RSRP,RSRQ,Cell_ID
120,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,114.620895,1.0,7.9004483,tc1sfws,-15.761616,-3.4639268,Cell_144
121,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,116.04228,1.0,7.9004483,tc1sfwt,-15.761581,-3.4639301,Cell_144
122,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,115.52395,1.0,7.9004483,tc1sfwu,-15.76149,-3.4639535,Cell_144
123,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,115.49922,1.0,7.9004483,tc1sfwv,-15.761416,-3.463971,Cell_144
124,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,114.21601,1.0,7.9004483,tc1sfww,-15.761305,-3.4640012,Cell_144
125,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,113.28489,1.0,7.9004483,tc1sfwx,-15.761206,-3.4640276,Cell_144
126,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,114.17937,1.0,7.9004483,tc1sfwy,-15.761162,-3.4640348,Cell_144
127,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,114.13235,1.0,7.9004483,tc1sfwz,-15.761095,-3.4640517,Cell_144
128,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,127.979576,1.0,8.4146,tc1sfx0,-15.761417,-3.463929,Cell_144
129,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,126.78608,1.0,8.4146,tc1sfx1,-15.76131,-3.4639583,Cell_144
130,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,126.86877,1.0,11.932529,tc1sfx2,-15.761152,-3.4639559,Cell_144
131,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,124.88087,1.0,11.932529,tc1sfx3,-15.761027,-3.463992,Cell_144
132,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,122.69185,1.0,8.4146,tc1sfx4,-15.760995,-3.4640472,Cell_144
133,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,116.648605,1.0,7.9004483,tc1sfx5,-15.760775,-3.4641228,Cell_144
134,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,119.722275,1.0,11.932529,tc1sfx6,-15.760693,-3.4640892,Cell_144
135,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,121.16774,1.0,8.366108,tc1sfx7,-15.760765,-3.4641085,Cell_144
136,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,125.22057,1.0,11.932529,tc1sfx8,-15.760724,-3.4640687,Cell_144
137,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,124.81242,1.0,11.932529,tc1sfx9,-15.760655,-3.4640875,Cell_144
138,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,129.64716,1.0,11.932529,tc1sfxb,-15.760725,-3.4640584,Cell_144
139,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,127.64145,1.0,11.932529,tc1sfxc,-15.760611,-3.464092,Cell_144
140,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,123.513756,1.0,11.932529,tc1sfxd,-15.760445,-3.4641445,Cell_144
141,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,128.1034,1.0,8.366108,tc1sfxe,-15.760597,-3.464135,Cell_144
142,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,131.81013,1.0,11.932529,tc1sfxf,-15.760552,-3.4640992,Cell_144
143,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,128.84196,1.0,8.366108,tc1sfxg,-15.760507,-3.4641578,Cell_144
144,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,116.415695,1.0,7.9004483,tc1sfxh,-15.7601385,-3.464282,Cell_144
145,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,114.080475,1.0,7.9004483,tc1sfxj,-15.760029,-3.4643152,Cell_144
146,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,115.96503,1.0,8.366108,tc1sfxk,-15.760012,-3.4643104,Cell_144
147,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,115.04209,1.0,8.366108,tc1sfxm,-15.759938,-3.4643314,Cell_144
148,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,112.64,1.0,7.9004483,tc1sfxn,-15.759837,-3.4643657,Cell_144
149,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,116.16147,1.0,7.9004483,tc1sfxp,-15.759877,-3.464349,Cell_144
